State,Year,Deaths,Total_Deaths_Annual,Mortality_Rate_Per_100k,Mortality_Rank_National,Mortality_Percentile,Mortality_YoY_Change_Pct,Deaths_YoY_Change_Pct,Mortality_3Yr_Rolling_Avg,Mortality_Trend_Slope,Deaths_Cumulative_2018,Mortality_Volatility,County_Burden_Concentration,High_Burden_County_Count,Total_Population,Population_65plus,Population_85plus,Population_75_84,Pct_Population_65plus,Pct_Population_85plus,Pct_Population_75_84,Working_Age_Population,Elderly_Dependency_Ratio,Very_Old_Ratio,Age_65plus_YoY_Growth,Age_85plus_YoY_Growth,Deaths_Female,Deaths_Male,Mortality_Rate_Female,Mortality_Rate_Male,Female_Male_Death_Ratio,Female_Pct_Of_Deaths,State_Code,Total_Funding_Annual,Mean_Award_Size,Median_Award_Size,Award_Size_StdDev,Total_Direct_Cost,Total_Indirect_Cost,Number_Of_Projects,Number_Of_Applications,Total_Funding_Millions,Mean_Award_Millions,Indirect_Cost_Ratio,Funding_YoY_Change_Pct,Projects_YoY_Change,Funding_3Yr_Rolling_Avg,Funding_Trend_Slope,Funding_Cumulative_2018,Funding_Volatility,Number_Of_Institutions,Number_Of_PIs,Number_Of_Unique_Projects,Number_Of_Universities,Number_Of_Schools,Number_Of_Medical_Centers,Top_Institution_Funding_Share,PIs_Per_Institution,Mortality_Rate_Per_100k_Lag1,Mortality_Rate_Per_100k_Lag2,Mortality_Rate_Per_100k_Lag3,Total_Deaths_Annual_Lag1,Total_Deaths_Annual_Lag2,Total_Deaths_Annual_Lag3,Population_65plus_Lag1,Population_65plus_Lag2,Population_65plus_Lag3,Population_85plus_Lag1,Population_85plus_Lag2,Population_85plus_Lag3,Total_Funding_Annual_Lag1,Total_Funding_Annual_Lag2,Total_Funding_Annual_Lag3,Number_Of_Projects_Lag1,Number_Of_Projects_Lag2,Number_Of_Projects_Lag3,Population,Funding_Per_Death,Funding_Per_65plus,Funding_Per_Capita,Projects_Per_Million_Pop,Funding_Per_Mortality_Unit,Deaths_Per_100k_Elderly,Overall_Burden_Index,Research_Capacity_Index,Funding_Burden_Alignment,Num_R1_Universities,Per_Capita_Income,Median_Income,Prior_NIH_Funding_Total,Rural_Population_Pct,Region,Regional_Avg_Funding,Regional_Avg_Mortality,Regional_Avg_65plus_Pop,Funding_vs_Regional_Avg,Mortality_vs_Regional_Avg
Tennessee,2023,917,917,13.126098434000633,30.0,43.13725490196079,-18.71009587962662,-17.978533094812164,14.116708907281302,-2.4230890190978114,6011,1.7586885237705336,54.089422028353326,3.0,6986082,178745,36188,108682,2.558587202383253,0.5180013632820227,1.5556931624907924,4331370.84,4.126753552231053,20.245601275560155,-15.49978253881209,-27.428055750526426,797.0,120.0,11.40839743936587,1.717700994634761,6.641666666666667,86.91384950926935,TN,40214832.0,566406.0845070423,396250.0,896840.983693538,35689392.0,10904214.0,72,77,40.214832,0.5664060845070423,0.30553095440796524,-20.71049529086594,-1.0,48038959.666666664,2586779.599999993,218216823.0,6886991.300539473,7,68,72,0.0,3.0,0.0,64.6069813247013,9.714285714285714,16.147267703211487,13.076760584631788,24.688922529350585,1118.0,897.0,1672.0,211532,129625,250844,49865,41983,75484,50718985.0,53183062.0,42919035.0,73.0,72.0,76.0,6986082,43854.7786259542,224.98437438809478,5.756421410455817,10.306205967808566,3063730.795727633,513.0213432543568,-0.2698670900539028,-0.1417736035113197,-0.06585524497199435,3,37866,67097,50718985.0,52.165422169725744,South,49637571.35294118,12.716180840659622,278406.0,-9422739.352941178,0.40991759334101197
Texas,2019,6280,6280,22.221549127882042,11.0,80.3921568627451,,,22.221549127882042,-0.7205423175287176,6280,,39.79299363057325,16.0,28260856,1443792,165166,612127,5.10880491376482,0.5844338189897715,2.165988885828511,17521730.72,8.24000792542713,11.439736471735541,,,4680.0,1600.0,16.560007948803815,5.6615411790782275,2.925,74.52229299363057,TX,95460370.0,564854.2603550296,382500.0,764029.1992591243,69752692.0,27518972.0,168,179,95.46037,0.5648542603550296,0.39452200640514345,,,95460370.0,22727089.099999987,95460370.0,,26,159,168,0.0,20.0,3.0,24.88243236434135,6.115384615384615,,,,,,,,,,,,,,,,,,,28260856,15200.695859872612,66.11781336923879,3.377830098281524,5.944618238032139,4295846.7679565605,434.965701430677,1.1654746413622705,0.8164122494887405,-0.8292311952631126,9,31277,61874,0.0,33.79142915216666,South,31667078.76470588,15.312540089909643,240384.76470588235,63793291.23529412,6.9090090379724
Texas,2020,7830,7830,27.343737177166673,11.0,80.3921568627451,23.05054440537482,24.68152866242037,24.782643152524358,-0.7205423175287176,14110,3.6219339041618563,36.85823754789272,20.0,28635442,1654125,215552,692422,5.776495435272136,0.7527454962979094,2.418059410432708,17753974.04,9.316928121406672,13.031179626690847,14.568095681372384,30.506278531901245,5760.0,2070.0,20.114933095846748,7.228804081319925,2.782608695652174,73.5632183908046,TX,120786955.0,606969.6231155779,396783.0,907244.4432941682,88684386.0,35235626.0,197,209,120.786955,0.6069696231155779,0.39731487795382603,26.530993961158966,29.0,108123662.5,22727089.099999987,216247325.0,17908599.997797497,27,187,197,0.0,20.0,3.0,19.709946326571444,6.925925925925926,22.221549127882042,,,6280.0,,,1443792,,,165166,,,95460370.0,,,168.0,,,28635442,15426.175606641124,73.02166099901761,4.218092914368146,6.879586492850363,4417353.568657868,473.3620494218998,1.662472909460024,0.9881875344492146,-1.07855658245242,9,32177,63826,95460370.0,35.196309137548745,South,37824766.176470585,19.19583265640101,299064.8823529412,82962188.82352942,8.147904520765664
Texas,2021,6592,6592,22.839260286528084,12.0,78.43137254901961,-16.47352321101171,-15.810983397190292,24.134848863858934,-0.7205423175287176,20702,2.7960892196675706,36.87803398058252,17.0,28862581,1573095,161387,675834,5.450292196668066,0.559156507867401,2.3415577421852882,17894800.22,8.790793865593656,10.259202400363614,-4.8986624348220325,-25.128507274346788,4834.0,1758.0,16.74832891763907,6.090931368889013,2.7497155858930604,73.33131067961165,TX,127757468.0,586043.4311926606,396250.0,801717.5009290805,96104175.0,38421229.0,214,243,127.757468,0.5860434311926606,0.3997873037253584,5.770915410525923,17.0,114668264.33333333,22727089.099999987,344004793.0,16995717.590356883,32,217,214,1.0,20.0,2.0,27.8696576860775,6.78125,27.343737177166673,22.221549127882042,,7830.0,6280.0,,1654125,1443792,,215552,165166,,120786955.0,95460370.0,,197.0,168.0,,28862581,19380.6838592233,81.21408306554912,4.426404831917146,7.414444328454201,5593765.57722225,419.04652929416216,1.279495118917678,1.23479324365825,-0.6274129876328778,9,34255,67321,120786955.0,45.921404624079166,South,43056852.52941176,15.02377230694195,274485.76470588235,84700615.47058824,7.815487979586134
Texas,2022,6567,6567,22.456393663897924,10.0,82.35294117647058,-1.6763529896631435,-0.3792475728155331,24.21313037586423,-0.7205423175287176,27269,2.717935047228301,35.16065174356632,18.0,29243342,1522051,161928,722125,5.204777894400715,0.553726041298563,2.4693655054883945,18130872.04,8.394803055485026,10.638802510559763,-3.2448135681570456,0.33521906968962956,4836.0,1731.0,16.537097572500436,5.919296091397488,2.7937608318890814,73.64093193238922,TX,166855888.0,689487.1404958678,394800.0,1918158.036246964,146958672.0,56297493.0,226,275,166.855888,0.6894871404958678,0.3830838441436107,30.603627805147184,12.0,138466770.33333334,22727089.099999987,510860681.0,24831502.457355984,28,236,226,3.0,20.0,3.0,23.106041663929773,8.428571428571429,22.839260286528084,27.343737177166673,22.221549127882042,6592.0,7830.0,6280.0,1573095,1654125,1443792,161387,215552,165166,127757468.0,120786955.0,95460370.0,214.0,197.0,168.0,29243342,25408.236333181056,109.6256879697198,5.705773574032681,7.728254862252063,7430217.447080395,431.4572901959264,1.2272827415340415,1.214207441657712,-0.19285066767433823,9,37514,73035,127757468.0,49.697941037319225,South,48622889.294117644,15.051568698060166,278305.9411764706,118232998.70588236,7.404824965837758
Texas,2023,6243,6243,21.062509296872847,12.0,78.43137254901961,-6.207071303999978,-4.93375970762906,22.119387749099616,-0.7205423175287176,33512,0.9350886373852536,35.31955790485344,16.0,29640343,1548795,149507,769698,5.225293782868842,0.5044037445855468,2.596791811754675,18377012.66,8.427893198175552,9.653117423545401,1.7571027514846849,-7.670693147571761,4579.0,1664.0,15.448539175137077,5.613970121735771,2.7518028846153846,73.34614768540766,TX,186061349.0,710157.820610687,400000.0,1972809.6611162052,183379997.0,58799360.0,246,306,186.061349,0.710157820610687,0.3206421690583843,11.510208737734207,20.0,160224901.66666666,22727089.099999987,696922030.0,29712171.238907807,32,244,246,4.0,21.0,4.0,20.71473156953194,7.625,22.456393663897924,22.839260286528084,27.343737177166673,6567.0,6592.0,7830.0,1522051,1573095,1654125,161928,161387,215552,166855888.0,127757468.0,120786955.0,226.0,214.0,197.0,29640343,29803.195418869134,120.13297369890786,6.277300805864494,8.299499098239181,8833769.347113097,403.0875616204856,1.1340656424428521,1.3865693839316309,-0.08817982414409031,9,39446,76292,166855888.0,46.761285004949194,South,49637571.35294118,12.716180840659622,278406.0,136423777.6470588,8.346328456213225
Utah,2019,599,599,19.34224734310499,20.0,62.745098039215684,,,19.34224734310499,0.07141865252405594,599,,78.96494156928213,1.0,3096848,99391,19375,62037,3.209424550381549,0.6256361306722189,2.003230381342578,1920045.76,5.176491210292821,19.493716734915637,,,429.0,170.0,13.852794841722938,5.4894525013820505,2.523529411764706,71.61936560934892,UT,5796937.0,322052.05555555556,303665.0,179909.60187679625,4134660.0,1662277.0,20,20,5.796937,0.32205205555555555,0.4020347501366497,,,5796937.0,1276184.0,5796937.0,,3,20,20,0.0,2.0,1.0,93.99682970506666,6.666666666666667,,,,,,,,,,,,,,,,,,,3096848,9677.691151919866,58.32456661065891,1.871882959706127,6.458179413390647,299703.38488440734,602.6702618949403,0.007312906402232931,-0.49949169030739554,-0.5479030627509149,2,29775,71621,0.0,44.658034810375874,West,50894271.916666664,21.260684533168384,430332.4166666667,-45097334.916666664,-1.9184371900633934
Utah,2020,692,692,21.959616519089792,21.0,60.78431372549019,13.531877292003646,15.52587646076795,20.65093193109739,0.07141865252405594,1291,1.8507594932075007,80.20231213872833,2.0,3151239,102888,31265,52752,3.265001480370102,0.9921494370944254,1.6740082234321167,1953768.18,5.266131419951778,30.387411554311484,3.51842722178064,61.36774193548386,505.0,187.0,16.025442690954257,5.9341738281355365,2.700534759358289,72.97687861271676,UT,6847694.0,311258.8181818182,306177.5,196409.6779587761,4766934.0,2080760.0,23,23,6.847694,0.31125881818181816,0.4364985963724272,18.126072441359973,3.0,6322315.5,1276184.0,12644631.0,742997.4000792331,3,22,23,0.0,2.0,0.0,89.88532489915583,7.333333333333333,19.34224734310499,,,599.0,,,99391,,,19375,,,5796937.0,,,20.0,,,3151239,9895.511560693642,66.55483632687971,2.173016391330521,7.298716473107879,311831.2195500867,672.5760049762849,0.12450663785611903,-0.4866349369457786,-0.6548212669939784,2,30986,74197,5796937.0,59.08864135219377,West,60136814.0,24.920214610330017,548793.0909090909,-53289120.0,-2.960598091240225
Utah,2021,644,644,19.929627371672076,16.0,70.58823529411765,-9.24419215450788,-6.936416184971095,20.410497077955622,0.07141865252405594,1935,1.3733470452382956,81.2111801242236,2.0,3231370,121948,22658,61311,3.7738791905600406,0.7011886599182391,1.8973686083611594,2003449.4,6.086901920258131,18.58005051333355,18.52499805613872,-27.529185990724446,439.0,205.0,13.585568969198821,6.344058402473255,2.1414634146341465,68.16770186335404,UT,11340238.0,436163.0,359562.5,331234.0442384508,7878233.0,3462005.0,27,28,11.340238,0.436163,0.43943927527911397,65.60666992421098,4.0,7994956.333333333,1276184.0,23984869.0,2944351.3106055013,3,26,27,0.0,2.0,0.0,90.90482051611262,8.666666666666666,21.959616519089792,19.34224734310499,,692.0,599.0,,102888,99391,,31265,19375,,6847694.0,5796937.0,,23.0,20.0,,3231370,17609.065217391304,92.99240659953423,3.5094210814608044,8.35558911545258,569014.0507152174,528.0939416800604,0.11483171726792017,-0.46604849613041477,-0.6012130125161945,2,33378,79133,6847694.0,31.149656638681446,West,69185081.81818181,22.395972490797934,495129.8181818182,-57844843.81818181,-2.466345119125858
Utah,2022,621,621,18.910965893570545,20.0,62.745098039215684,-5.111292143622592,-3.57142857142857,20.266736594777473,0.07141865252405594,2556,1.5520308084399508,86.79549114331722,2.0,3283809,101551,20614,60573,3.092475841317202,0.6277466198551742,1.8445957118699656,2035961.58,4.987864260189035,20.29916002796624,-16.72598156591334,-9.021096301527054,462.0,159.0,14.069027766231226,4.8419381273393185,2.9056603773584904,74.39613526570048,UT,7555500.0,377775.0,360772.5,204120.1368567566,5334033.0,2221467.0,23,23,7.5555,0.377775,0.416470426785886,-33.374414187779834,-4.0,8581144.0,1276184.0,31540369.0,2415511.7695916947,4,22,23,1.0,3.0,0.0,79.58120574415989,5.5,19.929627371672076,21.959616519089792,19.34224734310499,644.0,692.0,599.0,121948,102888,99391,22658,31265,19375,11340238.0,6847694.0,5796937.0,27.0,23.0,20.0,3283809,12166.666666666666,74.40103987159162,2.3008341837177495,7.004061442063165,399530.09500000003,611.5153962048626,-0.0220573165673368,-0.461528270646786,-0.5013355601453817,2,37023,86833,11340238.0,23.30159533761524,West,68532690.3076923,21.28792901885877,454884.46153846156,-60977190.307692304,-2.376963125288224
Utah,2023,707,707,21.22366591848491,11.0,80.3921568627451,12.22941248971663,13.848631239935582,20.021419727909176,0.07141865252405594,3263,1.1590792590704906,79.06647807637907,2.0,3331187,138584,23807,74866,4.160198751976398,0.7146701761264078,2.247427118321487,2065335.94,6.709997987058706,17.178750793742424,36.46739076917016,15.489473173571366,481.0,226.0,14.439297463636835,6.784368454848076,2.1283185840707963,68.03394625176803,UT,11823954.0,422284.0714285714,357422.0,435305.73717704887,8357034.0,3466920.0,31,32,11.823954,0.42228407142857144,0.41485053189923604,56.4946595195553,8.0,10239897.333333334,1276184.0,43364323.0,2337303.3766649407,4,28,31,1.0,3.0,0.0,86.33271915638373,7.0,18.910965893570545,19.929627371672076,21.959616519089792,621.0,644.0,692.0,101551,121948,102888,20614,22658,31265,7555500.0,11340238.0,6847694.0,23.0,27.0,23.0,3331187,16724.121640735502,85.31976274317381,3.5494717048307405,9.305992128331432,557111.7659603677,510.15990301910756,0.2257568965818321,-0.4255215435158702,-0.7074078527314277,2,39240,91750,7555500.0,41.15821967673409,West,70407089.6923077,19.5641959357848,473191.6923076923,-58583135.692307696,1.659469982700113
Vermont,2019,76,76,12.173380980373627,36.0,31.372549019607842,,,12.173380980373627,-1.0247319711044218,76,,100.0,0.0,624313,7219,4698,2521,1.1563110170699633,0.7525071558657276,0.40380386120423567,387074.06,1.8650177694676826,65.0782656877684,,,63.0,13.0,10.091092128467611,2.082288851906015,4.846153846153846,82.89473684210526,VT,3138907.0,784726.75,616214.5,520442.44024443603,2653153.0,707202.0,5,5,3.138907,0.78472675,0.26655153321350106,,,3138907.0,48565.90000000003,3138907.0,,2,5,5,0.0,1.0,0.0,74.64646133192223,2.5,,,,,,,,,,,,,,,,,,,624313,41301.40789473684,434.8118853026735,5.0277777332844265,8.008803276561597,257850.0586698684,1052.777392990719,-0.6189275631881883,-0.6017975096640023,-0.05234409002868967,1,34577,61973,0.0,14.357871398182905,Northeast,83986703.55555555,17.275776441693175,171713.77777777778,-80847796.55555555,-5.1023954613195475
